PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,NewFEN,NewMoves,PGNText
04xcR,2r3k1/1p2bpp1/1q2p2p/pP1pP3/r4P2/1RP3PP/2Q4K/1BR5 b - - 1 29,a4c4 c2h7 g8f8 h7h8,704,79,100,135,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/C2WbgORH/black#58,,2r3k1/1p2bpp1/1q2p2p/pP1pP3/5P2/1RP3PP/2Q4K/1BR5 w - - 1 29,c2h7 g8f8 h7h8,[Event "Mate in 2\\https://lichess.org/C2WbgORH/black#58"][FEN "2r3k1/1p2bpp1/1q2p2p/pP1pP3/5P2/1RP3PP/2Q4K/1BR5 w - - 1 29"]1. c2 {c2h7 g8f8 h7h8 (1-0)} *
04xhV,r3r1k1/1b3pp1/pp3q1p/2pPnB2/2P1Q3/6BP/PP3PP1/R3R1K1 b - - 1 22,e5c4 e4e8 a8e8 e1e8,1508,74,89,312,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/q2Z9yAPu/black#44,,r3r1k1/1b3pp1/pp3q1p/2pP1B2/2n1Q3/6BP/PP3PP1/R3R1K1 w - - 1 22,e4e8 a8e8 e1e8,[Event "Mate in 2\\https://lichess.org/q2Z9yAPu/black#44"][FEN "r3r1k1/1b3pp1/pp3q1p/2pP1B2/2n1Q3/6BP/PP3PP1/R3R1K1 w - - 1 22"]1. e4 {e4e8 a8e8 e1e8 (1-0)} *
04xlw,3r2k1/bp1r1ppp/p2q4/8/4Q3/P6P/1P3PP1/3RRBK1 b - - 2 23,d6d1 e4e8 d8e8 e1e8,1281,76,83,589,backRankMate mate mateIn2 middlegame sacrifice short,https://lichess.org/yoXEvFw9/black#46,,3r2k1/bp1r1ppp/p7/8/4Q3/P6P/1P3PP1/3qRBK1 w - - 2 23,e4e8 d8e8 e1e8,[Event "Mate in 2\\https://lichess.org/yoXEvFw9/black#46"][FEN "3r2k1/bp1r1ppp/p7/8/4Q3/P6P/1P3PP1/3qRBK1 w - - 2 23"]1. e4 {e4e8 d8e8 e1e8 (1-0)} *
04zwl,3k4/R7/3K4/4Pp2/8/pr1p4/8/8 b - - 2 54,d3d2 a7a8 b3b8 a8b8,1191,267,67,10,endgame mate mateIn2 rookEndgame short,https://lichess.org/G3BPUl54/black#108,,3k4/R7/3K4/4Pp2/8/pr6/3p4/8 w - - 2 54,a7a8 b3b8 a8b8,[Event "Mate in 2\\https://lichess.org/G3BPUl54/black#108"][FEN "3k4/R7/3K4/4Pp2/8/pr6/3p4/8 w - - 2 54"]1. a7 {a7a8 b3b8 a8b8 (1-0)} *
050MV,8/6pk/R6p/P7/6P1/r5K1/8/8 w - - 3 34,g3h4 g7g5 h4h5 a3h3,870,78,90,582,endgame mate mateIn2 rookEndgame short,https://lichess.org/NMNi4LAb#67,,8/6pk/R6p/P7/6PK/r7/8/8 b - - 3 34,g7g5 h4h5 a3h3,[Event "Mate in 2\\https://lichess.org/NMNi4LAb#67"][FEN "8/6pk/R6p/P7/6PK/r7/8/8 b - - 3 34"]1. g7 {g7g5 h4h5 a3h3 (0-1)}  *
050iD,6k1/p1B4p/4pPp1/2p5/8/8/Pr3PPP/4R1K1 w - - 0 31,e1e6 b2b1 e6e1 b1e1,620,103,65,237,backRankMate endgame mate mateIn2 short,https://lichess.org/nSTTaDmD#61,,6k1/p1B4p/4RPp1/2p5/8/8/Pr3PPP/6K1 b - - 0 31,b2b1 e6e1 b1e1,[Event "Mate in 2\\https://lichess.org/nSTTaDmD#61"][FEN "6k1/p1B4p/4RPp1/2p5/8/8/Pr3PPP/6K1 b - - 0 31"]1. b2 {b2b1 e6e1 b1e1 (0-1)}  *
050mg,8/6R1/8/5p2/2P5/1B2k3/Pr6/5K2 w - - 0 45,g7g2 b2b1 b3d1 b1d1,1019,197,100,12,endgame mate mateIn2 short,https://lichess.org/XIW99kFk#89,,8/8/8/5p2/2P5/1B2k3/Pr4R1/5K2 b - - 0 45,b2b1 b3d1 b1d1,[Event "Mate in 2\\https://lichess.org/XIW99kFk#89"][FEN "8/8/8/5p2/2P5/1B2k3/Pr4R1/5K2 b - - 0 45"]1. b2 {b2b1 b3d1 b1d1 (0-1)}  *
050zk,3k4/pp6/8/2p1pB2/5n2/P1PP4/1r5P/4R2K w - - 0 37,e1e5 b2b1 e5e1 b1e1,936,92,95,148,endgame mate mateIn2 short,https://lichess.org/xMy9gJDM#73,,3k4/pp6/8/2p1RB2/5n2/P1PP4/1r5P/7K b - - 0 37,b2b1 e5e1 b1e1,[Event "Mate in 2\\https://lichess.org/xMy9gJDM#73"][FEN "3k4/pp6/8/2p1RB2/5n2/P1PP4/1r5P/7K b - - 0 37"]1. b2 {b2b1 e5e1 b1e1 (0-1)}  *
051Ol,2kq3r/2p2ppp/1nQbpn2/1P6/3P1P2/4B3/6PP/R4RK1 b - - 5 23,d8d7 a1a8 b6a8 c6a8,1196,77,94,621,mate mateIn2 middlegame queensideAttack sacrifice short,https://lichess.org/T4bs9Vpt/black#46,,2k4r/2pq1ppp/1nQbpn2/1P6/3P1P2/4B3/6PP/R4RK1 w - - 5 23,a1a8 b6a8 c6a8,[Event "Mate in 2\\https://lichess.org/T4bs9Vpt/black#46"][FEN "2k4r/2pq1ppp/1nQbpn2/1P6/3P1P2/4B3/6PP/R4RK1 w - - 5 23"]1. a1 {a1a8 b6a8 c6a8 (1-0)} *
051VC,4r2k/ppp2p1B/5p2/7q/Q7/2P2P2/PP3P1P/6RK w - - 7 26,a4d4 h5f3 g1g2 e8e1,1000,87,95,276,endgame mate mateIn2 short,https://lichess.org/uAyZaNHh#51,,4r2k/ppp2p1B/5p2/7q/8/2P2P2/PP3P1P/6RK b - - 7 26,h5f3 g1g2 e8e1,[Event "Mate in 2\\https://lichess.org/uAyZaNHh#51"][FEN "4r2k/ppp2p1B/5p2/7q/8/2P2P2/PP3P1P/6RK b - - 7 26"]1. h5 {h5f3 g1g2 e8e1 (0-1)}  *
